sweep,setting,U_baseline,U_drift_only,U_deniability_only,U_both,interaction,interaction_share,depth_passthrough,depth_per_layer
interaction_layer,"prize=50, p_max=0.1",0.0,0.016772360791046943,0.5462194394910802,0.9999986260559997,0.4370068257738725,0.43700742619760385,1.9431339350050496,5.999999999999998
interaction_layer,"prize=50, p_max=0.3",0.0,0.016066120822619438,0.025058242111725318,0.32247010409060395,0.2813457411562592,0.8724707735300942,1.903405497167002,5.999999980424305
interaction_layer,"prize=50, p_max=0.6",0.0,0.014202981760547542,5.484247954678127e-06,0.32246953971414155,0.3082610737056394,0.9559385794357584,1.7984698967041914,5.999995244599029
interaction_layer,"prize=50, p_max=0.9",0.0,0.011151560203387353,5.899500638265809e-28,0.3223687976612667,0.3112172374578793,0.965407445496307,1.6265977259986453,5.998954709787897
interaction_layer,"prize=100, p_max=0.1",0.0,0.01944251311324052,1.0000000000000002,1.0000000000000004,-0.0194425131132403,-0.019442513113240294,2.0354525069241256,5.999999999999998
interaction_layer,"prize=100, p_max=0.3",0.0,0.017858012076035684,0.9808493347970759,0.9999999987936565,0.0012926519205449516,0.0012926519221043338,2.0002966747468025,6.0
interaction_layer,"prize=100, p_max=0.6",0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
interaction_layer,"prize=100, p_max=0.9",0.0,0.017000985469237898,0.006139417042511991,0.3218309759114641,0.2986905733997142,0.9280976529800667,1.9558586740514106,5.993409880446881
interaction_layer,"prize=200, p_max=0.1",0.003154255884618448,0.10954416594343071,1.0,1.0000000000000002,-0.10638991005881208,-0.10672655291639364,3.6336349896951483,5.999999999999995
interaction_layer,"prize=200, p_max=0.3",0.0,0.0637194450190019,1.0000000000000002,1.0000000000000004,-0.06371944501900173,-0.0637194450190017,2.9934383699180818,5.999999999999997
interaction_layer,"prize=200, p_max=0.6",0.0,0.021289585584655702,0.16772108075282094,0.32247084587604724,0.1334601795385706,0.4138674278476343,2.075807324536685,5.999999980538058
interaction_layer,"prize=200, p_max=0.9",0.0,0.017776008803418283,0.004927432714585401,0.2977199821050597,0.275016540587056,0.9237422985267005,1.999460973366623,5.742515346610286
setback_scope,total,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
setback_scope,prize,0.0,0.017669019776735347,0.035464912933721476,0.3224706032959186,0.26933667058546173,0.8352286001657709,1.993408922389737,5.9999999756670075
kernel,ladder,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
kernel,collapse,0.0,0.0,0.011056823151557682,2.4142127339280234e-05,-0.0110326810242184,-456.9887677739059,0.0,0.00017930134434532679
kernel,uniform,0.0,1.2533410856010851e-14,0.011056823151557682,0.5200832861264331,0.5090264629748629,0.9787402836304909,1.919772145691082e-13,5.999999998879559
gain,g=0,3.861750527961332e-17,0.0005450534554666379,0.04338725503669804,0.32089636479432826,0.27696405630216364,0.8630950259585457,0.39954322798339165,5.978803183273081
gain,g=0.5,0.0,0.006665825182987939,0.013322209188587834,0.32245942602235383,0.3024713916507781,0.9380138003154849,1.281537940362841,5.999891395474611
gain,g=1.5,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
gain,g=3,0.0,0.02104205165447566,0.01241437789583491,0.32247000286549793,0.2890135733151874,0.8962494828882884,2.070548823515871,5.999999999542906
gain,g=5,0.0,0.06399378656824575,0.013774585875058237,0.32247000291001193,0.24470163046670798,0.7588353281188579,2.999586358698524,5.999999999999975
curvature,c=0,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
